group_id,age,edu,ethn,sex
139,"[30,40)",1,Autochtoon,Vrouw
140,"[30,40)",2,Surinaams,Vrouw
141,"[30,40)",2,Marokkaans,Vrouw
142,"[30,40)",2,Turks,Vrouw
143,"[30,40)",2,Overig,Vrouw
144,"[30,40)",2,Autochtoon,Vrouw
145,"[30,40)",3,Surinaams,Vrouw
146,"[30,40)",3,Marokkaans,Vrouw
147,"[30,40)",3,Turks,Vrouw
148,"[30,40)",3,Overig,Vrouw
149,"[30,40)",3,Autochtoon,Vrouw
150,"[40,50)",1,Surinaams,Vrouw
151,"[40,50)",1,Marokkaans,Vrouw
152,"[40,50)",1,Turks,Vrouw
153,"[40,50)",1,Overig,Vrouw
154,"[40,50)",1,Autochtoon,Vrouw
155,"[40,50)",2,Surinaams,Vrouw
156,"[40,50)",2,Marokkaans,Vrouw
157,"[40,50)",2,Turks,Vrouw
158,"[40,50)",2,Overig,Vrouw
159,"[40,50)",2,Autochtoon,Vrouw
160,"[40,50)",3,Surinaams,Vrouw
161,"[40,50)",3,Marokkaans,Vrouw
162,"[40,50)",3,Turks,Vrouw
163,"[40,50)",3,Overig,Vrouw
164,"[40,50)",3,Autochtoon,Vrouw
165,"[60,70)",1,Surinaams,Vrouw
166,"[60,70)",1,Marokkaans,Vrouw
167,"[60,70)",1,Turks,Vrouw
168,"[60,70)",1,Overig,Vrouw
169,"[60,70)",1,Autochtoon,Vrouw
170,"[60,70)",2,Surinaams,Vrouw
171,"[60,70)",2,Marokkaans,Vrouw
172,"[60,70)",2,Turks,Vrouw
173,"[60,70)",2,Overig,Vrouw
174,"[60,70)",2,Autochtoon,Vrouw
175,"[60,70)",3,Surinaams,Vrouw
176,"[60,70)",3,Marokkaans,Vrouw
177,"[60,70)",3,Turks,Vrouw
178,"[60,70)",3,Overig,Vrouw
179,"[60,70)",3,Autochtoon,Vrouw
180,"[0,20)",1,Surinaams,Vrouw
181,"[0,20)",1,Marokkaans,Vrouw
182,"[0,20)",1,Turks,Vrouw
183,"[0,20)",1,Overig,Vrouw
184,"[0,20)",1,Autochtoon,Vrouw
185,"[0,20)",2,Surinaams,Vrouw
186,"[0,20)",2,Marokkaans,Vrouw
187,"[0,20)",2,Turks,Vrouw
188,"[0,20)",2,Overig,Vrouw
189,"[0,20)",2,Autochtoon,Vrouw
190,"[0,20)",3,Surinaams,Vrouw
191,"[0,20)",3,Marokkaans,Vrouw
192,"[0,20)",3,Turks,Vrouw
193,"[0,20)",3,Overig,Vrouw
194,"[0,20)",3,Autochtoon,Vrouw
195,"[50,60)",1,Surinaams,Vrouw
196,"[50,60)",1,Marokkaans,Vrouw
197,"[50,60)",1,Turks,Vrouw
198,"[50,60)",1,Overig,Vrouw
199,"[50,60)",1,Autochtoon,Vrouw
200,"[50,60)",2,Surinaams,Vrouw
201,"[50,60)",2,Marokkaans,Vrouw
202,"[50,60)",2,Turks,Vrouw
203,"[50,60)",2,Overig,Vrouw
204,"[50,60)",2,Autochtoon,Vrouw
205,"[50,60)",3,Surinaams,Vrouw
206,"[50,60)",3,Marokkaans,Vrouw
207,"[50,60)",3,Turks,Vrouw
208,"[50,60)",3,Overig,Vrouw
209,"[50,60)",3,Autochtoon,Vrouw
210,"[70,80)",1,Surinaams,Vrouw
211,"[70,80)",1,Marokkaans,Vrouw
212,"[70,80)",1,Turks,Vrouw
213,"[70,80)",1,Overig,Vrouw
214,"[70,80)",1,Autochtoon,Vrouw
215,"[70,80)",2,Surinaams,Vrouw
216,"[70,80)",2,Marokkaans,Vrouw
217,"[70,80)",2,Turks,Vrouw
218,"[70,80)",2,Overig,Vrouw
219,"[70,80)",2,Autochtoon,Vrouw
220,"[70,80)",3,Surinaams,Vrouw
221,"[70,80)",3,Marokkaans,Vrouw
222,"[70,80)",3,Turks,Vrouw
223,"[70,80)",3,Overig,Vrouw
224,"[70,80)",3,Autochtoon,Vrouw
225,"[80,120]",1,Surinaams,Vrouw
226,"[80,120]",1,Marokkaans,Vrouw
227,"[80,120]",1,Turks,Vrouw
228,"[80,120]",1,Overig,Vrouw
229,"[80,120]",1,Autochtoon,Vrouw
230,"[80,120]",2,Surinaams,Vrouw
231,"[80,120]",2,Marokkaans,Vrouw
232,"[80,120]",2,Turks,Vrouw
233,"[80,120]",2,Overig,Vrouw
234,"[80,120]",2,Autochtoon,Vrouw
235,"[80,120]",3,Surinaams,Vrouw
236,"[80,120]",3,Marokkaans,Vrouw
237,"[80,120]",3,Turks,Vrouw
238,"[80,120]",3,Overig,Vrouw
239,"[80,120]",3,Autochtoon,Vrouw
